OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
4,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,216.51,2622.21
5,Acme, Inc,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59
6,Test Dummy,N/A,0.00,Adamantium,1000.00,100.00,200.00,10000.00,20000.00,1000.00,311000.00
8,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
9,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
10,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
11,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
12,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
13,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
14,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
15,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
16,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
17,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
18,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
19,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
20,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
21,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
22,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
23,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
24,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
25,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
26,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
27,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
28,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
29,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
30,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
31,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
32,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
14,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
33,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
34,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
35,Corpo, Inc,PA,7.00,Tile,243.00,2.00,2.10,486.00,1020.60,105.46,1612.06
